"","id","pop"
"1","HG00096","GBR"
"2","HG00097","GBR"
"3","HG00098","GBR"
"4","HG00099","GBR"
"5","HG00100","GBR"
"6","HG00101","GBR"
"7","HG00102","GBR"
"8","HG00103","GBR"
"9","HG00104","GBR"
"10","HG00105","GBR"
"11","HG00106","GBR"
"12","HG00107","GBR"
"13","HG00108","GBR"
"14","HG00109","GBR"
"15","HG00110","GBR"
"16","HG00111","GBR"
"17","HG00112","GBR"
"18","HG00113","GBR"
"19","HG00114","GBR"
"20","HG00115","GBR"
"21","HG00116","GBR"
"22","HG00117","GBR"
"23","HG00118","GBR"
"24","HG00119","GBR"
"25","HG00120","GBR"
"26","HG00121","GBR"
"27","HG00122","GBR"
"28","HG00123","GBR"
"29","HG00124","GBR"
"30","HG00125","GBR"
"31","HG00126","GBR"
"32","HG00127","GBR"
"33","HG00128","GBR"
"34","HG00129","GBR"
"35","HG00130","GBR"
"36","HG00131","GBR"
"37","HG00132","GBR"
"38","HG00133","GBR"
"39","HG00134","GBR"
"40","HG00135","GBR"
"41","HG00136","GBR"
"42","HG00137","GBR"
"43","HG00138","GBR"
"44","HG00139","GBR"
"45","HG00140","GBR"
"46","HG00141","GBR"
"47","HG00142","GBR"
"48","HG00143","GBR"
"49","HG00144","GBR"
"50","HG00145","GBR"
"51","HG00146","GBR"
"52","HG00147","GBR"
"53","HG00148","GBR"
"54","HG00149","GBR"
"55","HG00150","GBR"
"56","HG00151","GBR"
"57","HG00152","GBR"
"58","HG00153","GBR"
"59","HG00154","GBR"
"60","HG00155","GBR"
"61","HG00156","GBR"
"62","HG00157","GBR"
"63","HG00158","GBR"
"64","HG00159","GBR"
"65","HG00160","GBR"
"66","HG00171","FIN"
"67","HG00173","FIN"
"68","HG00174","FIN"
"69","HG00176","FIN"
"70","HG00177","FIN"
"71","HG00178","FIN"
"72","HG00179","FIN"
"73","HG00180","FIN"
"74","HG00181","FIN"
"75","HG00182","FIN"
"76","HG00183","FIN"
"77","HG00185","FIN"
"78","HG00186","FIN"
"79","HG00187","FIN"
"80","HG00188","FIN"
"81","HG00189","FIN"
"82","HG00190","FIN"
"83","HG00231","GBR"
"84","HG00232","GBR"
"85","HG00233","GBR"
"86","HG00234","GBR"
"87","HG00235","GBR"
"88","HG00236","GBR"
"89","HG00237","GBR"
"90","HG00238","GBR"
"91","HG00239","GBR"
"92","HG00240","GBR"
"93","HG00242","GBR"
"94","HG00243","GBR"
"95","HG00244","GBR"
"96","HG00245","GBR"
"97","HG00246","GBR"
"98","HG00247","GBR"
"99","HG00248","GBR"
"100","HG00249","GBR"
"101","HG00250","GBR"
"102","HG00251","GBR"
"103","HG00252","GBR"
"104","HG00253","GBR"
"105","HG00254","GBR"
"106","HG00255","GBR"
"107","HG00256","GBR"
"108","HG00257","GBR"
"109","HG00258","GBR"
"110","HG00259","GBR"
"111","HG00260","GBR"
"112","HG00261","GBR"
"113","HG00262","GBR"
"114","HG00263","GBR"
"115","HG00264","GBR"
"116","HG00265","GBR"
"117","HG00266","FIN"
"118","HG00267","FIN"
"119","HG00268","FIN"
"120","HG00269","FIN"
"121","HG00270","FIN"
"122","HG00271","FIN"
"123","HG00272","FIN"
"124","HG00273","FIN"
"125","HG00274","FIN"
"126","HG00275","FIN"
"127","HG00276","FIN"
"128","HG00277","FIN"
"129","HG00278","FIN"
"130","HG00280","FIN"
"131","HG00281","FIN"
"132","HG00282","FIN"
"133","HG00284","FIN"
"134","HG00285","FIN"
"135","HG00288","FIN"
"136","HG00290","FIN"
"137","HG00302","FIN"
"138","HG00303","FIN"
"139","HG00304","FIN"
"140","HG00306","FIN"
"141","HG00308","FIN"
"142","HG00309","FIN"
"143","HG00310","FIN"
"144","HG00311","FIN"
"145","HG00312","FIN"
"146","HG00313","FIN"
"147","HG00315","FIN"
"148","HG00318","FIN"
"149","HG00319","FIN"
"150","HG00320","FIN"
"151","HG00321","FIN"
"152","HG00323","FIN"
"153","HG00324","FIN"
"154","HG00325","FIN"
"155","HG00326","FIN"
"156","HG00327","FIN"
"157","HG00328","FIN"
"158","HG00329","FIN"
"159","HG00330","FIN"
"160","HG00331","FIN"
"161","HG00332","FIN"
"162","HG00334","FIN"
"163","HG00335","FIN"
"164","HG00336","FIN"
"165","HG00337","FIN"
"166","HG00338","FIN"
"167","HG00339","FIN"
"168","HG00341","FIN"
"169","HG00342","FIN"
"170","HG00343","FIN"
"171","HG00344","FIN"
"172","HG00345","FIN"
"173","HG00346","FIN"
"174","HG00349","FIN"
"175","HG00350","FIN"
"176","HG00351","FIN"
"177","HG00353","FIN"
"178","HG00355","FIN"
"179","HG00356","FIN"
"180","HG00357","FIN"
"181","HG00358","FIN"
"182","HG00359","FIN"
"183","HG00360","FIN"
"184","HG00361","FIN"
"185","HG00362","FIN"
"186","HG00364","FIN"
"187","HG00365","FIN"
"188","HG00366","FIN"
"189","HG00367","FIN"
"190","HG00368","FIN"
"191","HG00369","FIN"
"192","HG00371","FIN"
"193","HG00372","FIN"
"194","HG00373","FIN"
"195","HG00375","FIN"
"196","HG00376","FIN"
"197","HG00377","FIN"
"198","HG00378","FIN"
"199","HG00379","FIN"
"200","HG00380","FIN"
"201","HG00381","FIN"
"202","HG00382","FIN"
"203","HG00383","FIN"
"204","HG00384","FIN"
"205","HG00403","CHS"
"206","HG00404","CHS"
"207","HG00405","CHS"
"208","HG00406","CHS"
"209","HG00407","CHS"
"210","HG00408","CHS"
"211","HG00409","CHS"
"212","HG00410","CHS"
"213","HG00411","CHS"
"214","HG00418","CHS"
"215","HG00419","CHS"
"216","HG00420","CHS"
"217","HG00421","CHS"
"218","HG00422","CHS"
"219","HG00423","CHS"
"220","HG00427","CHS"
"221","HG00428","CHS"
"222","HG00429","CHS"
"223","HG00436","CHS"
"224","HG00437","CHS"
"225","HG00438","CHS"
"226","HG00442","CHS"
"227","HG00443","CHS"
"228","HG00444","CHS"
"229","HG00445","CHS"
"230","HG00446","CHS"
"231","HG00447","CHS"
"232","HG00448","CHS"
"233","HG00449","CHS"
"234","HG00450","CHS"
"235","HG00451","CHS"
"236","HG00452","CHS"
"237","HG00453","CHS"
"238","HG00457","CHS"
"239","HG00458","CHS"
"240","HG00459","CHS"
"241","HG00463","CHS"
"242","HG00464","CHS"
"243","HG00465","CHS"
"244","HG00472","CHS"
"245","HG00473","CHS"
"246","HG00474","CHS"
"247","HG00475","CHS"
"248","HG00476","CHS"
"249","HG00477","CHS"
"250","HG00478","CHS"
"251","HG00479","CHS"
"252","HG00480","CHS"
"253","HG00500","CHS"
"254","HG00501","CHS"
"255","HG00502","CHS"
"256","HG00512","CHS"
"257","HG00513","CHS"
"258","HG00514","CHS"
"259","HG00524","CHS"
"260","HG00525","CHS"
"261","HG00526","CHS"
"262","HG00530","CHS"
"263","HG00531","CHS"
"264","HG00532","CHS"
"265","HG00533","CHS"
"266","HG00534","CHS"
"267","HG00535","CHS"
"268","HG00536","CHS"
"269","HG00537","CHS"
"270","HG00538","CHS"
"271","HG00542","CHS"
"272","HG00543","CHS"
"273","HG00544","CHS"
"274","HG00551","PUR"
"275","HG00552","PUR"
"276","HG00553","PUR"
"277","HG00554","PUR"
"278","HG00555","PUR"
"279","HG00556","CHS"
"280","HG00557","CHS"
"281","HG00558","CHS"
"282","HG00559","CHS"
"283","HG00560","CHS"
"284","HG00561","CHS"
"285","HG00565","CHS"
"286","HG00566","CHS"
"287","HG00567","CHS"
"288","HG00577","CHS"
"289","HG00578","CHS"
"290","HG00579","CHS"
"291","HG00580","CHS"
"292","HG00581","CHS"
"293","HG00582","CHS"
"294","HG00583","CHS"
"295","HG00584","CHS"
"296","HG00585","CHS"
"297","HG00589","CHS"
"298","HG00590","CHS"
"299","HG00591","CHS"
"300","HG00592","CHS"
"301","HG00593","CHS"
"302","HG00594","CHS"
"303","HG00595","CHS"
"304","HG00596","CHS"
"305","HG00597","CHS"
"306","HG00598","CHS"
"307","HG00599","CHS"
"308","HG00600","CHS"
"309","HG00607","CHS"
"310","HG00608","CHS"
"311","HG00609","CHS"
"312","HG00610","CHS"
"313","HG00611","CHS"
"314","HG00612","CHS"
"315","HG00613","CHS"
"316","HG00614","CHS"
"317","HG00615","CHS"
"318","HG00619","CHS"
"319","HG00620","CHS"
"320","HG00621","CHS"
"321","HG00622","CHS"
"322","HG00623","CHS"
"323","HG00624","CHS"
"324","HG00625","CHS"
"325","HG00626","CHS"
"326","HG00627","CHS"
"327","HG00628","CHS"
"328","HG00629","CHS"
"329","HG00630","CHS"
"330","HG00631","CHS"
"331","HG00632","CHS"
"332","HG00633","CHS"
"333","HG00634","CHS"
"334","HG00635","CHS"
"335","HG00636","CHS"
"336","HG00637","PUR"
"337","HG00638","PUR"
"338","HG00639","PUR"
"339","HG00640","PUR"
"340","HG00641","PUR"
"341","HG00642","PUR"
"342","HG00650","CHS"
"343","HG00651","CHS"
"344","HG00652","CHS"
"345","HG00653","CHS"
"346","HG00654","CHS"
"347","HG00655","CHS"
"348","HG00656","CHS"
"349","HG00657","CHS"
"350","HG00658","CHS"
"351","HG00662","CHS"
"352","HG00663","CHS"
"353","HG00664","CHS"
"354","HG00671","CHS"
"355","HG00672","CHS"
"356","HG00673","CHS"
"357","HG00674","CHS"
"358","HG00675","CHS"
"359","HG00676","CHS"
"360","HG00683","CHS"
"361","HG00684","CHS"
"362","HG00685","CHS"
"363","HG00689","CHS"
"364","HG00690","CHS"
"365","HG00691","CHS"
"366","HG00692","CHS"
"367","HG00693","CHS"
"368","HG00694","CHS"
"369","HG00698","CHS"
"370","HG00699","CHS"
"371","HG00700","CHS"
"372","HG00701","CHS"
"373","HG00702","CHS"
"374","HG00703","CHS"
